Brand,Model,Year,Mileage,Engine,Fuel_type,Transmission,Ext_col,Int_col,Accident,Clean_title,Price
Mercedes-Benz,EQS 450+ Base,2022,16500,329.0HP Electric Motor Electric Fuel System,,A/T,White,Blue,None reported,Yes,69500
MINI,Cooper S Clubman Base,2009,83853,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Gray,At least 1 accident or damage reported,Yes,6950
BMW,X6 M50i,2022,22500,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,–,Black,At least 1 accident or damage reported,Yes,74999
Lexus,LS 460 Base,2013,99524,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,24900
Genesis,GV80 2.5T,2023,8100,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Beige,Silver,None reported,Yes,57300
MINI,Hardtop Cooper S,2016,43073,2.0L I4 16V GDI DOHC Turbo,Gasoline,6-Speed Automatic,Carbon Black,Volcanic Orange,None reported,,17999
Land,Rover Range Rover Velar R-Dynamic S,2023,12425,I4,Gasoline,Automatic,Ebony,Firenze Red,None reported,,57619
BMW,530 i xDrive,2020,23195,2.0L I4 16V GDI DOHC Turbo,Gasoline,8-Speed Automatic,Black,Dark Graphite Metallic,None reported,,38900
Jeep,Grand Cherokee Laredo,2011,118000,360.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Gold,At least 1 accident or damage reported,Yes,12500
Toyota,Tacoma SR5,2018,65290,278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Blue,At least 1 accident or damage reported,Yes,26450
Porsche,911 Carrera Cabriolet,2001,47885,300.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Gray,,,31995
Jeep,Gladiator Sport S,2020,13000,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,–,Gray,None reported,Yes,39500
Dodge,Challenger SRT Hellcat,2018,29475,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Orange,None reported,Yes,62999
Jeep,Renegade Trailhawk,2017,78717,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,None reported,Yes,17500
Ford,F-150 Lariat,2021,9142,430.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Hybrid,10-Speed A/T,Gray,Black,None reported,Yes,61500
Jaguar,XF Premium,2011,106000,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Beige,Brown,At least 1 accident or damage reported,Yes,9400
Volkswagen,Golf GTI 2.0T SE 4-Door,2016,90000,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Gray,None reported,Yes,16750
Porsche,Macan Turbo,2016,46000,400.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,–,Gray,None reported,Yes,38000
BMW,X4 M Competition,2020,18362,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Orange,Black,None reported,Yes,60000
Lexus,RX 350 Base,2013,164500,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,White,At least 1 accident or damage reported,Yes,16500
GMC,Terrain SLT,2020,55018,170.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,25500
Nissan,Maxima SV,2022,36466,3.5L V6 24V GDI DOHC,Gasoline,Automatic CVT,Charcoal,Brilliant Silver Metallic,None reported,,24980
Volvo,S60 B5 Inscription,2022,14280,247.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,A/T,Black,Blue,None reported,Yes,36500
Subaru,Outback 2.5i Premium,2013,116000,173.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Blue,At least 1 accident or damage reported,Yes,12500
RAM,1500 Laramie,2022,16184,5.7L V8 16V MPFI OHV,Gasoline,8-Speed Automatic,Black,Granite Crystal Clearcoat Metallic,None reported,,46999
Porsche,Boxster Base,1997,132800,201.0HP 2.5L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed M/T,Beige,Red,,,8500
Ford,Explorer XLT,2020,45000,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,Black,Silver,None reported,Yes,33500
Ford,F-150 Lariat,2013,102000,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,White,None reported,Yes,23000
Ford,Excursion XLS,2004,163000,325.0HP 6.0L 8 Cylinder Engine Diesel Fuel,Diesel,5-Speed A/T,Gray,Silver,At least 1 accident or damage reported,Yes,18000
BMW,M8 Competition,2023,3500,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Gray,Gray,None reported,Yes,129000
Porsche,Panamera GTS,2016,42526,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Blue,None reported,Yes,66200
Mazda,Mazda3 i Touring,2012,144900,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,–,Black,None reported,Yes,6000
GMC,Sierra 1500 SLT,2016,85000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,White,None reported,Yes,32750
Mercedes-Benz,Sprinter 2500 Standard Roof,2022,16113,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Diesel,A/T,Black,Gray,None reported,Yes,111000
Mercedes-Benz,GL-Class GL 450,2011,93000,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Gray,At least 1 accident or damage reported,Yes,11900
RAM,1500 Big Horn,2022,11468,5.7L V8 16V MPFI OHV,Gasoline,Automatic,Black,Bright White Clearcoat,None reported,Yes,50204
Lexus,NX 300 Base,2019,25470,235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Red,Silver,None reported,Yes,32500
BMW,435 i xDrive,2014,90347,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Silver,None reported,Yes,21800
GMC,Yukon SLE,2017,96000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Gray,None reported,Yes,34000
Honda,Pilot EX-L,2016,80500,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Gray,None reported,Yes,23000
Audi,A5 Sportback S line Premium Plus,2021,35000,261.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,7-Speed A/T,Black,Black,None reported,Yes,37499
Porsche,911 Carrera,1995,49900,–,–,6-Speed M/T,Gray,Silver,At least 1 accident or damage reported,Yes,97993
Honda,Civic Sport,2020,121212,1.5L I4 16V GDI DOHC Turbo,Gasoline,Automatic CVT,Sport,White,At least 1 accident or damage reported,Yes,18387
Mercedes-Benz,G 550 4x4 Squared Base,2018,14381,4.0L V8 32V GDI DOHC Twin Turbo,Gasoline,7-Speed Automatic,Black,Designo Magno Matte,None reported,,204900
Porsche,Panamera Platinum Edition,2022,13500,325.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Green,None reported,Yes,86999
BMW,740e xDrive iPerformance,2019,33214,322.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Plug-In Hybrid,A/T,Black,White,None reported,Yes,43500
Ford,F-250 XLT,2017,29719,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Gray,White,None reported,Yes,31000
Lincoln,Corsair Standard,2022,4520,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Beige,Beige,None reported,Yes,38500
Hyundai,Sonata Sport,2017,84129,2.4L I4 16V GDI DOHC,Gasoline,6-Speed Automatic,Graphite,Phantom Black,None reported,,14599
Nissan,Maxima 3.5 SR,2019,72150,300.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,CVT Transmission,Black,White,At least 1 accident or damage reported,Yes,26999
GMC,Yukon SLT,2015,94500,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,White,At least 1 accident or damage reported,Yes,30000
Mercedes-Benz,GLS 550 Base 4MATIC,2017,88454,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,9-Speed A/T,Beige,White,None reported,Yes,39999
Cadillac,CTS Base,2010,81696,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Beige,Silver,At least 1 accident or damage reported,Yes,9499
Cadillac,CTS Base,2005,94100,255.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Beige,White,None reported,Yes,6099
Ford,Explorer Limited,2022,17500,318.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,Hybrid,10-Speed A/T,Black,White,None reported,Yes,46000
Acura,RDX,2016,132252,3.5 Liter,Gasoline,Automatic,Black,Crystal Black,None reported,,18998
Toyota,Highlander XLE,2022,4437,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Gray,None reported,Yes,42000
Volkswagen,Golf GTI 2.0T SE 4-Door,2018,70500,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,White,None reported,Yes,23000
Nissan,Pickup Truck XE,1994,89144,–,–,A/T,Gray,Red,None reported,Yes,5899
Toyota,Corolla CE,2008,170000,126.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Gray,None reported,Yes,5199
Honda,Element EX,2008,122000,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Blue,None reported,Yes,10500
Toyota,Camry Solara SE,2008,57852,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Silver,,,13900
Hyundai,Genesis 4.6,2010,120321,378.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Beige,White,None reported,Yes,10500
BMW,M3 Base,2002,60255,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Yellow,None reported,Yes,28750
Land,Rover Range Rover Sport HSE Dynamic,2019,77690,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Beige,White,None reported,Yes,43500
Chevrolet,Corvette ZR-1,2009,18000,638.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Gray,None reported,Yes,78000
Honda,Prelude Type SH,2001,125000,200.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed M/T,Black,Red,None reported,Yes,18000
Lexus,NX 300 Base,2021,6449,2.0L I4 16V PDI DOHC Turbo,Gasoline,6-Speed Automatic,Black,Silver,At least 1 accident or damage reported,,35999
Volkswagen,Golf GTI 2.0T SE 4-Door,2019,33000,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Black,None reported,Yes,27500
Nissan,Armada LE,2009,87130,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Brown,None reported,Yes,20000
Lexus,SC 300 Base,1998,165000,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Purple,None reported,Yes,8700
Toyota,Camry Solara SLE,2008,73000,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed A/T,Beige,Blue,At least 1 accident or damage reported,Yes,11500
Porsche,Macan S,2020,22354,3.0L V6 24V GDI DOHC Turbo,Gasoline,7-Speed Automatic with Auto-Shift,Black,Black,None reported,,54900
Tesla,Model Y Performance,2023,6188,455.0HP Electric Motor Electric Fuel System,,A/T,White,Gray,None reported,Yes,53900
GMC,Terrain SLT,2019,60807,2.0L I4 16V GDI DOHC Turbo,Gasoline,9-Speed Automatic,Medium Ash Gray,Red Quartz Tintcoat,At least 1 accident or damage reported,Yes,25925
Jeep,Compass Latitude,2014,105000,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,None reported,Yes,10950
Audi,Q7 3.0T Prestige,2018,63400,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,None reported,Yes,29900
Ford,F-250 Platinum,2022,4500,430.0HP 7.3L 8 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,Black,Black,None reported,Yes,86500
Jeep,Gladiator Overland,2020,8025,3.6L V6 24V MPFI DOHC,Gasoline,8-Speed Automatic,Black,Firecracker Red Clearcoat,None reported,Yes,42433
Lincoln,Navigator L Reserve,2019,49131,3.5L V6 24V PDI DOHC Twin Turbo,Gasoline,10-Speed Automatic,–,Tan,,,55460
Tesla,Model X P100D,2017,100346,Electric Motor Electric Fuel System,,1-Speed A/T,White,Silver,None reported,Yes,45999
Mercedes-Benz,CLS-Class CLS 400 4MATIC,2016,62285,329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29950
Lexus,RX 350 Base,2021,5040,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Beige,Beige,At least 1 accident or damage reported,Yes,48900
RAM,1500 Laramie,2022,12940,5.7L V8 16V MPFI OHV,Gasoline,8-Speed Automatic,Black,Bright White Clearcoat,At least 1 accident or damage reported,,46999
Mitsubishi,Outlander Sport ES,2015,98385,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,CVT Transmission,Black,Silver,At least 1 accident or damage reported,Yes,10500
Hyundai,Sonata SE,2013,43903,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Red,At least 1 accident or damage reported,Yes,12500
Ford,Mustang EcoBoost Premium,2017,41650,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Blue,None reported,Yes,23600
BMW,X5 PHEV xDrive45e,2022,31850,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,Plug-In Hybrid,Transmission w/Dual Shift Mode,Black,White,None reported,Yes,60500
Hyundai,Sonata Hybrid Limited,2013,96419,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,Hybrid,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,14999
Honda,Odyssey EX-L,2007,170000,244.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Black,None reported,Yes,7700
Chevrolet,Colorado LT Crew Cab,2009,139000,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,None reported,Yes,14500
Buick,Enclave Premium,2016,134655,3.6L V6 24V GDI DOHC,Gasoline,6-Speed Automatic,Ebony,Ebony Twilight Metallic,None reported,Yes,18051
BMW,M235 i,2015,81000,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Red,White,None reported,Yes,27890
McLaren,720S Performance,2020,9989,710.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Black,None reported,Yes,324995
Kia,Telluride SX,2022,46347,3.8L V6 24V GDI DOHC,Gasoline,8-Speed Automatic,Black,Glacial White Pearl,None reported,,46120
Chevrolet,Corvette Base,2007,4048,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Gray,Yellow,None reported,Yes,38000
Mercedes-Benz,S-Class S 63 AMG,2015,79876,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,White,Black,None reported,Yes,45750
Toyota,Mirai Limited,2021,44000,182.0HP Electric Motor Hydrogen Fuel,not supported,A/T,Black,Gray,None reported,Yes,18500
Alfa,Romeo Giulia Ti,2017,56910,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Blue,,,23000
Land,Rover Range Rover Sport HSE,2019,65019,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Black,None reported,Yes,40500
Nissan,370Z Touring,2009,133409,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Gray,Silver,At least 1 accident or damage reported,Yes,14999
BMW,330 i xDrive,2018,74381,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Brown,White,At least 1 accident or damage reported,Yes,22995
Porsche,Macan,2023,2925,2.0L I4 16V GDI DOHC Turbo,Gasoline,7-Speed Automatic with Auto-Shift,Black,Carrara White Metallic,None reported,Yes,73300
BMW,128 i,2013,67874,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Gray,None reported,Yes,18000
Mercedes-Benz,AMG GLE 63 S Coupe 4MATIC,2018,71500,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,White,White,None reported,Yes,61000
Jeep,Wrangler Sport,2014,71000,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed A/T,Black,Gray,None reported,Yes,22000
Ford,F-150 Raptor,2018,64517,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,Black,Black,None reported,Yes,47995
Dodge,Sprinter 2500 High Roof,2004,55000,154.0HP 2.7L 5 Cylinder Engine Diesel Fuel,Diesel,A/T,Gray,White,None reported,Yes,24000
BMW,M550 i xDrive,2019,7580,456.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,51500
Hyundai,Sonata GLS,2010,135000,168.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Gray,Blue,None reported,Yes,3999
Honda,Accord EX-L,2019,62200,192.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,White,At least 1 accident or damage reported,Yes,21500
Cadillac,CTS 3.6L Premium,2014,69001,321.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Red,None reported,Yes,19500
Toyota,4Runner Venture Special Edition,2021,28567,"4L V-6 DOHC, VVT-i variable valve control, regular unleaded, eng",Gasoline,Automatic,Black/Graphite,–,None reported,,44775
Jaguar,XJ8 L,2006,78049,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Beige,White,None reported,Yes,13980
Ford,F-150 Lariat,2021,36821,3.5L V6 24V PDI DOHC Twin Turbo,Gasoline,Automatic,Black,Agate Black Metallic,,,49273
Chevrolet,Suburban High Country,2021,23292,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,Black,Brown,None reported,Yes,73500
Chevrolet,Suburban 1500 LTZ,2010,162671,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Black,Black,None reported,Yes,12000
Land,Rover LR2 HSE,2010,100472,230.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Beige,Gray,None reported,Yes,9975
Subaru,WRX Limited,2017,73120,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,CVT Transmission,Black,White,At least 1 accident or damage reported,Yes,19950
Ford,Expedition Timberline,2022,23300,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,Green,Green,None reported,Yes,67500
Honda,Clarity Plug-In Hybrid Base,2018,71000,212.0HP 1.5L 4 Cylinder Engine Plug-In Electric/Gas,Plug-In Hybrid,A/T,Beige,Red,At least 1 accident or damage reported,Yes,17500
RAM,3500 Laramie,2022,16648,6.7L I6 24V DDI OHV Turbo Diesel,Diesel,6-Speed Automatic,Black,Flame Red Clearcoat,None reported,,70999
Chevrolet,Silverado 2500 LT,2011,240000,335.0HP 6.6L 8 Cylinder Engine Diesel Fuel,Diesel,6-Speed A/T,Black,White,None reported,Yes,18500
Lexus,RX 450h Base,2013,119755,295.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Hybrid,Transmission w/Dual Shift Mode,Black,Silver,None reported,Yes,19500
Mercedes-Benz,M-Class ML 350 4MATIC,2015,88000,302.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Gray,Silver,None reported,Yes,19500
BMW,X5 xDrive40i,2021,41000,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,8-Speed A/T,Black,White,None reported,Yes,50000
Chevrolet,Camaro 2SS,2022,7458,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Red,None reported,Yes,47500
Jeep,Gladiator Sport S,2022,23000,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Green,None reported,Yes,43000
Land,Rover Discovery LSE,1998,149437,182.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Green,None reported,Yes,9995
Ford,F-250 XLT,2017,244000,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Diesel,6-Speed A/T,Beige,Red,None reported,Yes,35500
RAM,1500 Rebel,2019,46000,305.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,8-Speed A/T,–,White,None reported,Yes,37900
Audi,Q5 S line Premium Plus,2022,13133,2.0 Liter TFSI,Hybrid,Automatic,Black,Silver,None reported,,42998
RAM,1500 SLT,2017,45000,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Black,None reported,Yes,29999
Mazda,CX-30 Premium Package,2021,18385,2.5L I4 16V GDI DOHC,Gasoline,6-Speed Automatic,White / Brown,Soul Red Crystal Metallic,None reported,Yes,29255
BMW,840 Gran Coupe i xDrive,2020,25793,3.0L I6 24V GDI DOHC Turbo,Gasoline,8-Speed Automatic,Black,Black Sapphire Metallic,None reported,,52999
Porsche,Boxster S,2005,44400,280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Silver,None reported,Yes,29800
Chevrolet,Malibu Limited LT,2016,104000,2.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Gray,Silver,None reported,Yes,10500
Cadillac,Escalade Premium Luxury,2023,600,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,None reported,Yes,103000
MINI,Cooper S Base,2007,45000,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Yellow,None reported,Yes,7900
Jeep,Gladiator Mojave,2022,24500,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Blue,None reported,Yes,64000
Buick,Encore GX Essence,2020,35569,1.3L I3 12V MPFI DOHC Turbo,Gasoline,Automatic CVT,Ebony,Satin Steel Metallic,None reported,,21999
Toyota,Highlander XLE,2020,35000,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Silver,None reported,Yes,36999
Acura,MDX Touring,2003,165000,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Silver,At least 1 accident or damage reported,Yes,4000
Land,Rover Range Rover Sport SE MHEV,2021,15000,355.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,A/T,Black,Black,None reported,Yes,69000
BMW,535 i xDrive,2014,119750,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Beige,White,None reported,Yes,15499
Nissan,350Z Touring,2007,90000,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,M/T,Green,White,At least 1 accident or damage reported,Yes,12000
Ford,Transit Connect XLT,2015,112000,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,White,At least 1 accident or damage reported,Yes,14500
Mercedes-Benz,SL-Class SL550 Roadster,2008,150000,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Beige,Black,None reported,Yes,16800
Porsche,911 Turbo S,2021,1912,640.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Silver,None reported,Yes,240000
Hyundai,Sonata Sport 2.0T,2015,82900,245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,At least 1 accident or damage reported,Yes,13995
Audi,TT 1.8T,2004,79500,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Silver,None reported,Yes,12000
Volvo,XC90 T6 Inscription,2019,60000,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,White,None reported,Yes,37000
RAM,1500 Big Horn,2021,41800,260.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Diesel,8-Speed A/T,Black,White,None reported,Yes,44900
Chevrolet,Tahoe LT,2021,71536,5.3L V8 16V GDI OHV,Gasoline,10-Speed Automatic,Jet Black,Black,None reported,Yes,49685
Ford,Explorer XLT,2014,127558,3.5L V6 24V MPFI DOHC,Gasoline,6-Speed Automatic,Charcoal Black,Green,None reported,Yes,13715
Ford,Mustang Mach-E Premium,2023,13232,346.0HP Electric Motor Electric Fuel System,,1-Speed A/T,Black,Gray,None reported,Yes,45000
Chevrolet,Camaro 1SS,2017,39000,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Yellow,None reported,Yes,31500
Ford,Bronco Big Bend Advanced,2023,11500,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,Black,Gray,None reported,Yes,54490
Chrysler,Pacifica Launch Edition,2020,22200,287.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,9-Speed A/T,Black,Black,None reported,Yes,36800
Tesla,Model Y Long Range,2023,7414,425.0HP Electric Motor Electric Fuel System,,A/T,White,Black,None reported,Yes,56515
Lamborghini,Huracan LP580-2,2017,14586,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Gasoline,Automatic,Nero Ade,Blue Caelum,None reported,,209991
RAM,1500 Rebel,2021,32000,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,8-Speed A/T,Black,White,None reported,Yes,50927
Toyota,86 Base,2020,14700,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,White,None reported,Yes,27350
BMW,X5 xDrive50i,2016,79995,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,23995
GMC,Yukon Denali,2018,76000,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,None reported,Yes,44500
Honda,Accord EX-L,2014,62000,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,CVT Transmission,Black,Gray,At least 1 accident or damage reported,Yes,18987
